,"ФИО","Внесено","Подписано","Процент подписанных","Общее время принятия","Среднее время принятия",Примечания,Служебное,Misc
133,Луговой Андрей Константинович,5,1,"20,00%",157,157,,,
134,Лебедев Олег Александрович,15,3,"20,00%",473,"157,6666667",,,
135,Синельщиков Юрий Петрович,30,6,"20,00%",1215,"202,5",,,
136,Шолохов Александр Михайлович,5,1,"20,00%",219,219,,,
137,Красов Андрей Леонидович,16,3,"18,75%",398,"132,6666667",,,
138,Бальбек Руслан Исмаилович,11,2,"18,18%",310,155,,,
139,Натаров Сергей Васильевич,11,2,"18,18%",342,171,,,
140,Гладких Борис Михайлович,6,1,"16,67%",149,149,,,
141,Шхагошев Адальби Люлевич,6,1,"16,67%",162,162,,,
142,Савченко Светлана Борисовна,13,2,"15,38%",258,129,,,
143,Гулевский Михаил Владимирович,13,2,"15,38%",630,315,,,
144,Гетта Антон Александрович,7,1,"14,29%",42,42,,,
145,Герасименко Николай Федорович,7,1,"14,29%",53,53,,,
146,Савастьянова Ольга Викторовна,7,1,"14,29%",91,91,,,
147,Кидяев Виктор Борисович,7,1,"14,29%",112,112,тоже внести?,,
148,Носов Александр Алексеевич,7,1,"14,29%",175,175,,,
149,Шулепов Евгений Борисович,7,1,"14,29%",208,208,,,
150,Ковалев Николай Дмитриевич,7,1,"14,29%",274,274,,,
151,Зюганов Геннадий Андреевич,30,4,"13,33%",267,"66,75",,,
152,Хованская Галина Петровна,39,5,"12,82%",917,"183,4",,,
153,Затулин Константин Федорович,8,1,"12,50%",47,47,,,
154,Шрейдер Виктор Филиппович,8,1,"12,50%",107,107,,,
155,Кашин Владимир Иванович,32,4,"12,50%",566,"141,5",,,
156,Чернышев Михаил Анатольевич,8,1,"12,50%",193,193,,,
157,Морозов Антон Юрьевич,8,1,"12,50%",229,229,,,
158,Николаев Олег Алексеевич,90,11,"12,22%",1999,"181,7272727",,,
159,Шеремет Михаил Сергеевич,9,1,"11,11%",39,39,,,
160,Ефимов Виталий Борисович,9,1,"11,11%",112,112,вставить?,,
161,Боярский Сергей Михайлович,9,1,"11,11%",219,219,,,
162,Строкова Елена Викторовна,28,3,"10,71%",574,"191,3333333",,,
163,Поклонская Наталья Владимировна,10,1,"10,00%",39,39,,,
164,Кармазина Раиса Васильевна,10,1,"10,00%",76,76,,,
165,Костенко Наталья Васильевна,10,1,"10,00%",181,181,,,
166,Гусева Ирина Михайловна,10,1,"10,00%",351,351,,,
167,Драпеко Елена Григорьевна,41,4,"9,76%",1260,315,,,
168,Бахарев Константин Михайлович,11,1,"9,09%",39,39,,,
169,Козенко Андрей Дмитриевич,11,1,"9,09%",39,39,,,
170,Савицкая Светлана Евгеньевна,11,1,"9,09%",141,141,,,
171,Емельянов Михаил Васильевич,102,9,"8,82%",1496,"166,2222222",,,
172,Диденко Алексей Николаевич,36,3,"8,33%",60,20,,,
173,Андрейченко Андрей Валерьевич,12,1,"8,33%",85,85,,,
174,Калашников Леонид Иванович,12,1,"8,33%",185,185,,,
175,Дегтярев Михаил Владимирович,25,2,"8,00%",130,65,,,
176,Шеин Олег Васильевич,65,5,"7,69%",953,"190,6",,,
177,Плетнева Тамара Васильевна,30,2,"6,67%",186,93,,,
178,Куринный Алексей Владимирович,30,2,"6,67%",342,171,,,
179,Миронов Сергей Михайлович,137,9,"6,57%",1275,"141,6666667",,,
180,Смолин Олег Николаевич,31,2,"6,45%",466,233,,,
181,Нилов Ярослав Евгеньевич,78,5,"6,41%",886,"177,2",,,
182,Рыжак Николай Иванович,47,3,"6,38%",832,"277,3333333",,,
183,Осипов Илья Владимирович,16,1,"6,25%",193,193,,,
184,Курдюмов Александр Борисович,16,1,"6,25%",229,229,,,
185,Белоусов Вадим Владимирович,32,2,"6,25%",486,243,,,
